FYPY: FYnite elements in PYthon ...executing fypy/main.py 
         14231851 function calls (14199075 primitive calls) in 49.752 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8192    0.030    0.000    0.201    0.000 <__array_function__ internals>:2(all)
   245802    0.758    0.000    1.529    0.000 <__array_function__ internals>:2(can_cast)
    36864    0.119    0.000    1.630    0.000 <__array_function__ internals>:2(det)
   147456    0.443    0.000    0.871    0.000 <__array_function__ internals>:2(dot)
    32772    0.110    0.000    0.196    0.000 <__array_function__ internals>:2(empty_like)
    32770    0.110    0.000    0.591    0.000 <__array_function__ internals>:2(ndim)
    32770    0.089    0.000    0.131    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
    36864    0.070    0.000    0.108    0.000 <string>:1(__new__)
   946202    1.796    0.000    3.787    0.000 _asarray.py:16(asarray)
    40964    0.088    0.000    0.368    0.000 _methods.py:28(_amax)
    32772    0.065    0.000    0.186    0.000 _methods.py:32(_amin)
     4096    0.009    0.000    0.029    0.000 _methods.py:36(_sum)
     4096    0.009    0.000    0.043    0.000 _methods.py:47(_all)
   155652    0.200    0.000    0.200    0.000 _util.py:129(_prune_array)
     4096    0.053    0.000    0.185    0.000 _util.py:193(_asarray_validated)
      5/1    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
     8192    0.018    0.000    0.037    0.000 abc.py:96(__instancecheck__)
        1    0.288    0.288   49.854   49.854 assembly.py:17(assembly)
     4096    0.010    0.000    0.010    0.000 assembly.py:37(<listcomp>)
     4096    0.011    0.000    0.011    0.000 assembly.py:38(<listcomp>)
     4096    0.009    0.000    0.009    0.000 assembly.py:39(<listcomp>)
     4096    0.009    0.000    0.009    0.000 assembly.py:40(<listcomp>)
     4096    0.008    0.000    0.008    0.000 assembly.py:41(<listcomp>)
     4096    0.009    0.000    0.009    0.000 assembly.py:42(<listcomp>)
     4096    0.008    0.000    0.008    0.000 assembly.py:43(<listcomp>)
     4096    0.018    0.000   11.103    0.003 assutils.py:6(getelem)
    77826    0.155    0.000    0.235    0.000 base.py:1189(isspmatrix)
   393232    0.828    0.000    1.732    0.000 base.py:242(nnz)
    24576    0.079    0.000    7.150    0.000 base.py:298(asformat)
        2    0.000    0.000    0.002    0.001 base.py:390(_add_sparse)
     8192    0.065    0.000    6.054    0.001 base.py:406(__add__)
     8192    0.009    0.000    0.009    0.000 base.py:634(__iadd__)
    36868    0.059    0.000    0.059    0.000 base.py:674(__getattr__)
    81924    0.138    0.000    0.138    0.000 base.py:70(__init__)
   352272    0.347    0.000    0.347    0.000 base.py:84(get_shape)
     4096    0.042    0.000    0.060    0.000 blas.py:253(find_best_blas_type)
     4096    0.056    0.000    0.141    0.000 blas.py:318(_get_funcs)
    16386    0.124    0.000    0.491    0.000 compressed.py:1054(__get_has_canonical_format)
    20482    0.053    0.000    0.073    0.000 compressed.py:1075(__set_has_canonical_format)
    16386    0.072    0.000    0.929    0.000 compressed.py:1083(sum_duplicates)
     4096    0.021    0.000    0.060    0.000 compressed.py:1099(__get_sorted)
   327688    0.421    0.000    0.421    0.000 compressed.py:110(getnnz)
    20482    0.025    0.000    0.025    0.000 compressed.py:1114(__set_sorted)
     4096    0.027    0.000    0.168    0.000 compressed.py:1130(sort_indices)
    77826    1.149    0.000    2.752    0.000 compressed.py:1139(prune)
     8192    0.261    0.000    5.745    0.001 compressed.py:1209(_binopt)
    40960    0.159    0.000    1.011    0.000 compressed.py:127(_set_self)
    65538    1.724    0.000    8.059    0.000 compressed.py:138(check_format)
65538/32770    1.099    0.000   20.373    0.001 compressed.py:30(__init__)
     8192    0.029    0.000    5.774    0.001 compressed.py:354(_add_sparse)
    16386    0.268    0.000    3.479    0.000 coo.py:128(__init__)
    65544    0.304    0.000    0.482    0.000 coo.py:241(getnnz)
    16386    0.542    0.000    1.915    0.000 coo.py:267(_check)
    16386    0.497    0.000    7.045    0.000 coo.py:374(tocsr)
     4096    0.010    0.000    0.014    0.000 core.py:6251(isMaskedArray)
   212998    0.198    0.000    0.198    0.000 csr.py:228(_swap)
    81924    0.181    0.000    0.319    0.000 data.py:22(__init__)
    32770    0.037    0.000    0.037    0.000 data.py:25(_get_dtype)
     4096    0.006    0.000    0.006    0.000 decomp.py:1197(_check_info)
     4096    0.020    0.000    0.030    0.000 decomp.py:501(_check_select)
     4096    0.097    0.000    0.476    0.000 decomp.py:533(eig_banded)
     4096    0.013    0.000    0.489    0.000 decomp.py:864(eigvals_banded)
     4096    0.009    0.000    0.009    0.000 elembase.py:100(trac)
     4096    0.005    0.000    0.005    0.000 elembase.py:106(bf)
     4096    0.010    0.000    0.010    0.000 elembase.py:110(bf)
     4096    0.005    0.000    0.005    0.000 elembase.py:117(coord)
     4096    0.026    0.000    0.026    0.000 elembase.py:121(coord)
     4096    0.005    0.000    0.005    0.000 elembase.py:129(prop)
     4096    0.249    0.000   11.061    0.003 elembase.py:13(__init__)
     4096    0.013    0.000    0.013    0.000 elembase.py:133(prop)
     4096    0.048    0.000    3.033    0.001 elembase.py:140(interp)
     4096    0.121    0.000    4.968    0.001 elembase.py:145(getjaco)
     4096    0.009    0.000    0.009    0.000 elembase.py:148(<listcomp>)
     4096    0.021    0.000   11.413    0.003 elembase.py:152(compute_stiffness)
     4096    0.102    0.000    1.480    0.000 elembase.py:155(compute_rhs)
     4096    0.049    0.000    0.382    0.000 elembase.py:171(setdata)
     4096    1.108    0.000   10.826    0.003 elembase.py:180(create_global_Kf)
     4096    0.031    0.000    0.031    0.000 elembase.py:186(<listcomp>)
